product,call_id,dna_version,robocat_version,robocat,call_recording_duration,feature_version,agent_ring_count,agent_speech_duration,agent_speech_ratio,agent_first_half_speech_ratio,agent_spoke_first,agent_first_speech_time,agent_speech_duration_before_ring,agent_speech_duration_after_ring,agent_silence_duration,agent_silence_ratio,caller_ring_count,caller_speech_duration,caller_speech_ratio,caller_first_half_speech_ratio,caller_spoke_first,caller_first_speech_time,caller_speech_duration_before_ring,caller_speech_duration_after_ring,caller_silence_duration,caller_silence_ratio,analyzed_call_duration,conversation_switch_count,overlapping_speech_count,overlapping_speech_duration,overlapping_silence_count,overlapping_silence_duration,estimated_hold_time_duration
PFC,100000048567859,2,2,Hangup,113.214694,4,1,78.37188141,0.692241251,0.690848635,TRUE,0.2195,33.43401141,44.93787,32.85732507,0.290221383,0,0,0,0,FALSE,,,,113.214694,1,113.214694,0,0,0,17,32.85732507,
PFC,100000048629053,2,2,Hangup,82.494694,4,1,59.64445,0.723009531,0.653613601,TRUE,0.22948,21.63085,38.0136,20.85477915,0.252801461,0,1.65624,0.020076928,0.009917486,FALSE,18.31837,,,80.838454,0.979923072,82.494694,6,2,0.85805,13,20.05658915,
PFC,100000049011321,2,2,Conversation,460.068571,4,7,234.1377887,0.50891933,0.548063731,TRUE,0.2195,20.8526017,134.1949095,218.3979025,0.474707285,0,128.77736,0.279909057,0.165369329,FALSE,8.53061,,,331.291211,0.720090943,460.068571,86,38,53.55826,96,143.1788025,
PFC,100000048528498,2,2,Conversation,1034.553469,4,5,307.1220451,0.296864352,0.399404701,TRUE,0.2195,15.70431506,216.25855,720.6967301,0.696625889,0,315.55304,0.305013757,0.308957951,FALSE,104.8517,,,719.000429,0.694986243,1034.553469,165,76,58.577,230,463.9900802,
PFC,100000048546784,2,2,Conversation,174.132245,4,1,120.2866163,0.690777382,0.732879644,TRUE,0.2195,15.74421633,104.5424,51.86014115,0.297820436,0,33.24445,0.190914957,0.169989912,FALSE,5.87664,,,140.887795,0.809085043,174.132245,32,14,8.11159,34,26.72728115,
PFC,100000049051980,2,2,Conversation,264.045714,4,7,155.5963411,0.589278041,0.680705205,TRUE,0.2195,18.78729896,60.49251,101.2756768,0.383553572,0,39.24082,0.148613736,0.039071113,FALSE,27.21814,,,224.804894,0.851386264,264.045714,22,8,4.16053,44,66.19538679,
PFC,100000049003421,2,2,Conversation,606.876735,4,8,242.6585752,0.399848208,0.457998131,TRUE,0.2195,16.68209016,144.9406622,355.6276836,0.585996568,0,65.61082,0.108112268,0.085062678,FALSE,2.38458,,,541.265915,0.891887732,606.876735,62,19,14.57691,109,304.5937736,
PFC,100000048643964,2,2,Conversation,668.16,4,10,296.7555468,0.44413845,0.474167884,TRUE,0.22948,21.68073,225.287972,360.3994646,0.539390961,0,124.71648,0.186656609,0.163899485,FALSE,0.38912,,,543.44352,0.813343391,668.16,95,38,22.82809,136,258.5110746,
PFC,100000049054063,2,2,Conversation,2152.96,4,8,412.1725349,0.191444586,0.249497682,TRUE,0.22948,18.86711488,340.30588,1730.44098,0.803749712,0,225.54703,0.104761366,0.081794116,FALSE,11.23447,,,1927.41297,0.895238634,2152.96,181,48,29.26332,321,1534.446613,
PFC,100000048983210,2,2,Conversation,476.05551,4,6,211.4294052,0.44412763,0.587875646,TRUE,0.22948,21.67075,86.26387306,258.3503678,0.542689586,0,49.70699,0.104414273,0.115019192,FALSE,25.90113,,,426.34852,0.895585727,476.05551,56,11,6.64493,86,216.7350185,
PFC,100000048590676,2,2,Conversation,1235.017143,4,3,375.656375,0.30417098,0.353462424,FALSE,0.2195,17.26077497,296.43642,854.9707454,0.692274395,0,194.87703,0.157792976,0.191771864,TRUE,0.18957,,,1040.140113,0.842207024,1235.017143,110,30,16.00375,205,676.0974654,
PFC,100000048976531,2,2,Conversation,1108.68898,4,5,298.95077,0.269643494,0.293788236,TRUE,0.2195,7.63265,217.66554,802.9037429,0.724192048,0,302.59215,0.272927895,0.298287821,FALSE,9.0195,,,806.09683,0.727072105,1108.68898,144,32,23.5963,214,524.3169629,
PFC,100000049072562,2,2,Conversation,1284.127347,4,7,426.1320127,0.331845602,0.371957087,TRUE,0.2195,21.68073,137.97681,848.7205791,0.660931785,0,356.21092,0.277395323,0.202634716,FALSE,0.31927,,,927.916427,0.722604677,1284.127347,119,29,23.81608,211,516.9942213,
PFC,100000048916462,2,2,Conversation,1779.461224,4,15,378.4295,0.212665213,0.301294433,TRUE,0.22948,21.63084,58.20742,1386.708773,0.779285749,0,162.27124,0.09119122,0.066913276,FALSE,26.32018,,,1617.189984,0.90880878,1779.461224,100,21,17.02149,186,1242.99553,
PFC,100000048865395,2,2,Conversation,101.250612,4,1,61.19092633,0.604351175,0.752465424,TRUE,0.22948,15.76417633,45.42675,38.06422082,0.375940649,0,16.61223,0.164070416,0.110956761,FALSE,1.75601,,,84.638382,0.835929584,101.250612,19,11,7.04396,18,28.49595082,
PFC,100000048908791,2,2,Conversation,616.280816,4,8,295.6880485,0.479794342,0.537429251,TRUE,0.22948,21.64082,157.2725764,312.0122686,0.506282624,0,122.59131,0.198921185,0.119416562,FALSE,30.361,,,493.689506,0.801078815,616.280816,93,20,13.06028,152,203.109809,
PFC,100000049062087,2,2,Unknown,170.684082,4,6,101.5392303,0.594895723,0.749743029,TRUE,0.2195,17.28073032,15.34511,61.23083422,0.358737813,0,11.05485,0.064767903,0.017302609,FALSE,8.8898,,,159.629232,0.935232097,170.684082,12,1,0.70839,29,50.88437422,
PFC,100000048762813,2,2,Unknown,103.392653,4,1,63.88479492,0.617885247,0.655883188,TRUE,0.2195,24.78367492,39.10112,37.5024159,0.362718383,0,6.41542,0.06204909,0.034546942,FALSE,26.22041,,,96.977233,0.93795091,103.392653,10,3,2.49433,17,33.5813259,
PFC,100000048927058,2,2,Conversation,472.920816,4,6,169.255417,0.357893777,0.427556765,TRUE,0.2195,19.41586701,87.26176,295.7434035,0.625355014,0,98.31645,0.207891991,0.205867022,FALSE,14.20771,,,374.604366,0.792108009,472.920816,75,25,16.54237,92,214.5879214,
PFC,100000049156962,2,2,Hangup,80.091429,4,1,60.70203,0.757909189,0.720455481,TRUE,0.2195,7.63265,53.06938,17.45035247,0.217880399,0,0,0,0,FALSE,,,,80.091429,1,80.091429,0,0,0,10,17.45035247,
PFC,100000049189236,2,2,Hangup,313.991837,4,8,83.63991882,0.266376093,0.444097843,TRUE,0.2195,14.89614882,17.6,220.0897906,0.700941122,0,24.41449,0.077755174,0.116172128,FALSE,14.80635,,,289.577347,0.922244826,313.991837,16,5,1.99547,30,198.1496727,
